Refcode,metal,Atomic_number,Atomic_weight,Atomic_redius,M_electronegativity,Polarizability,Electron_affinity,Allen_en,Ghosh_en,Pauling_en,Inchikey
ADOLAH,Hg,80,200.592,1.32,,33.91,,10.44,0.16899999999999998,1.9,HWWYDZCSSYKIAD-UHFFFAOYSA-N
ADUPIB,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,UMJSCPRVCHMLSP-UHFFFAOYSA-N
ADUPOH,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LSZMVESSGLHDJE-UHFFFAOYSA-N
ADUSOI,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,DHDHJYNTEFLIHY-UHFFFAOYSA-N
ADUTAV,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,GLGSZERYOLHNML-UHFFFAOYSA-N
ADUTAV01,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,GLGSZERYOLHNML-UHFFFAOYSA-N
ADUTAV02,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,GLGSZERYOLHNML-UHFFFAOYSA-N
AFAHEW,Mg,12,24.305,1.41,,71.2,,7.646,0.121644,1.31,WYURNTSHIVDZCO-UHFFFAOYSA-N
AFAVOU,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,IWDFHWZHHOSSGR-UHFFFAOYSA-N
AFEGEA,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,BVBKHXWFKZERGB-IZLXSQMJSA-N
AFEGOK,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,BVBKHXWFKZERGB-IZLXSQMJSA-N
AFEHOK01,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,JWQYMDYDVWIWAQ-UHFFFAOYSA-N
AFEHUQ,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,XMIGOYNGRFYJBI-UHFFFAOYSA-N
AFEYAL03,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,JUJWROOIHBZHMG-UHFFFAOYSA-N
AFUFAK,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,RAXJMYHMQXJGIN-UHFFFAOYSA-N
AFUJOA,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,ROFVEXUMMXZLPA-UHFFFAOYSA-N
AFURUR,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,VLTPHQCHDAYOEB-UHFFFAOYSA-N
