Refcode,metal,Atomic_number,Atomic_weight,Atomic_redius,M_electronegativity,Polarizability,Electron_affinity,Allen_en,Ghosh_en,Pauling_en,Inchikey
GIGBAB,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,PVOAHINGSUIXLS-UHFFFAOYSA-N
GIHMUI,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,DPPKPCLKZOLTMB-UHFFFAOYSA-N
GIHPAQ,W,74,183.84,1.62,3.932015,68.0,0.81626,8.67,0.2390504,1.7,MGFJDEHFNMWYBD-OWOJBTEDSA-N
GIJQAS,Sn,50,118.71,1.39,3.6719585,53.0,1.112067,10.79,0.178052,1.96,MKRQXMULDIMVAN-UHFFFAOYSA-N
GIKQEY,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,DAUQOVIWDBBXFA-UHFFFAOYSA-N
GIKRIC,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,DGEZNRSVGBDHLK-UHFFFAOYSA-N
GIKRIC01,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,DGEZNRSVGBDHLK-UHFFFAOYSA-N
GIMBOU,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,YVVXMBHAKNKELS-UHFFFAOYSA-N
GIMSUS,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,OWVZESVDNQLQPV-UHFFFAOYSA-N
GIMXEG,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,DGEZNRSVGBDHLK-UHFFFAOYSA-N
GINPAW,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,SKSQXMCTBMPKSN-UHFFFAOYSA-N
GINSUT,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,LGCPYQSYWVJQCJ-UHFFFAOYSA-N
GIPBUF,Er,68,167.259,1.89,,150.0,,,0.212261,1.24,CMUQIBAPAYSSDT-UHFFFAOYSA-N
GIPQII,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,JUJWROOIHBZHMG-UHFFFAOYSA-N
GIPWUZ,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,MWVTWFVJZLCBMC-UHFFFAOYSA-N
GIQHAQ,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,RAXJMYHMQXJGIN-UHFFFAOYSA-N
GIQNAY,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,PKNBEXFZRUHWSZ-UHFFFAOYSA-N
GIQVUA,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,ILKKUQXAHKKSCX-UHFFFAOYSA-N
GIRFAQ,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,FTKZBTDTPXLVAN-UHFFFAOYSA-N
GIRNED,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,ZNWGUCYZCVCRJM-UHFFFAOYSA-N
GIRNIH,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,ZNWGUCYZCVCRJM-UHFFFAOYSA-N
GIRPAA,V,23,50.9415,1.53,3.3730935,87.0,0.525,9.062999999999999,0.12733440000000001,1.63,IESWLALHJIAKAW-UHFFFAOYSA-N
GISQEH,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,JUJWROOIHBZHMG-UHFFFAOYSA-N
GISQIL,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,JUJWROOIHBZHMG-UHFFFAOYSA-N
GISQOR,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,JUJWROOIHBZHMG-UHFFFAOYSA-N
GITQUY,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,DNVQSJVXXDIPRV-CXUHLZMHSA-N
GITZIU,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,NPHGFBYVFPAJED-UHFFFAOYSA-N
GIVHUO,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,UXTFKIJKRJJXNV-UHFFFAOYSA-N
GIVQEJ01,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,GOXNVAKIWBEGOF-UHFFFAOYSA-N
GIVSIO,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,HDLXFDBHXMKSFO-UHFFFAOYSA-N
GIWFUP,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,RWGFHTWCAZDOTN-UHFFFAOYSA-N
GIWYER,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,WEGYGNROSJDEIW-UHFFFAOYSA-N
GIWZEU,Dy,66,162.5,1.92,2.969525,163.0,0.35200000000000004,,0.20332999999999998,1.22,DGEZNRSVGBDHLK-UHFFFAOYSA-N
GIXVIV,Eu,63,151.964,1.98,2.8351925,184.0,0.8640000000000001,,0.189935,,SMFRCXBVALBUSB-UHFFFAOYSA-N
GIYKAB,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,XBDYWKUFPGFZCQ-IVQVNHIISA-N
GIZLAD,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,DGEZNRSVGBDHLK-UHFFFAOYSA-N
GOBCOR,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,OUXGTINVQZOBKT-UHFFFAOYSA-N
GOBQOF,Ho,67,164.93033,1.92,,156.0,,,0.20779499999999998,1.23,RKJLJXVBERNCQT-UHFFFAOYSA-N
GOBSUM,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,FDTQOZYHNDMJCM-UHFFFAOYSA-N
GOBYON,V,23,50.9415,1.53,3.3730935,87.0,0.525,9.062999999999999,0.12733440000000001,1.63,JIWSGTNHGGNROT-UHFFFAOYSA-N
GOCXAY,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,KCALAFIVPCAXJI-UHFFFAOYSA-N
GODJOY,Hg,80,200.592,1.32,,33.91,,10.44,0.16899999999999998,1.9,MWVTWFVJZLCBMC-UHFFFAOYSA-N
GODLUH,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,DGEZNRSVGBDHLK-UHFFFAOYSA-N
GOGHAM,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,RHGZTOUGXJIJNR-HVIDBACLSA-N
GOGMIA,Sr,38,87.62,1.95,2.8474336,197.2,0.048,5.695,0.1185082,0.95,HKOAFLAGUQUJQG-UHFFFAOYSA-N
GONGUL,Sm,62,150.36,1.98,,192.0,,,0.185468,1.17,WYURNTSHIVDZCO-UHFFFAOYSA-N
GOVKOU,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,VPWMJSCISYDBKL-UHFFFAOYSA-N
GOVSER,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,BKIWLWWHOCOPLM-UHFFFAOYSA-N
GOYRUH,Li,3,6.94,1.28,2.6958573805,164.1125,0.618049,5.392,0.105093,0.98,WYURNTSHIVDZCO-UHFFFAOYSA-N
GOYSAO,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,KYQCOXFCLRTKLS-UHFFFAOYSA-N
GUCFIV,Mg,12,24.305,1.41,,71.2,,7.646,0.121644,1.31,ZMXDDKWLCZADIW-UHFFFAOYSA-N
GUDVOS,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,IHQYDVPKJGQQKX-UHFFFAOYSA-N
GUDYUB,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,QCTNKNQUNYEDIS-UHFFFAOYSA-N
GUGREI,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,MWVTWFVJZLCBMC-UHFFFAOYSA-N
GUHFUN,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,CPPWDKJYBPADRT-UHFFFAOYSA-N
GUHGAU,Ni,28,58.6934,1.24,3.8199385,49.0,1.156,11.13,0.1472068,1.91,CPPWDKJYBPADRT-UHFFFAOYSA-N
GUHHEY,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,DWEJHFABUPCNEL-UHFFFAOYSA-N
GUKNOS,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,AZVPUVHTLAXDBK-UHFFFAOYSA-N
GUKVAK,Al,13,26.9815385,1.21,2.9928842,57.8,0.43283,9.539,0.150078,1.61,HELNIXJAVZRTCG-UHFFFAOYSA-N
GUKVEO,Al,13,26.9815385,1.21,2.9928842,57.8,0.43283,9.539,0.150078,1.61,HELNIXJAVZRTCG-UHFFFAOYSA-N
GUKZAO,Eu,63,151.964,1.98,2.8351925,184.0,0.8640000000000001,,0.189935,,XCPQWXJQAKKUHR-UHFFFAOYSA-N
GUMCAT,Ru,44,101.07,1.46,3.68025,72.0,1.05,9.1,0.1376494,2.2,DELDYDGGXZMPQU-UHFFFAOYSA-N
GUPCUQ,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,WLKDOQYCRXCTPB-UHFFFAOYSA-N
GUPJEG,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,NZXKDRZTKNIXGO-UHFFFAOYSA-N
GUPJEG01,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,NZXKDRZTKNIXGO-UHFFFAOYSA-N
GUQXAR,Cr,24,51.9961,1.39,3.383255,83.0,0.6659999999999999,9.77,0.13130529999999999,1.66,WYURNTSHIVDZCO-UHFFFAOYSA-N
GURCUS,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,RHGZTOUGXJIJNR-HVIDBACLSA-N
GUSNEN,Cr,24,51.9961,1.39,3.383255,83.0,0.6659999999999999,9.77,0.13130529999999999,1.66,FDTQOZYHNDMJCM-UHFFFAOYSA-N
GUSNEN01,Cr,24,51.9961,1.39,3.383255,83.0,0.6659999999999999,9.77,0.13130529999999999,1.66,FDTQOZYHNDMJCM-UHFFFAOYSA-N
GUWFEK,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,NKUFFYFOBGGDTP-UHFFFAOYSA-N
GUXCOS,Pb,82,207.2,1.46,3.7083398,47.0,0.35674316,10.97,0.17791099999999999,1.8,ZNCVMTHSKXVOMX-QUBYGPBYSA-N
GUXQEV,V,23,50.9415,1.53,3.3730935,87.0,0.525,9.062999999999999,0.12733440000000001,1.63,QDJUBCZKYIAZPR-UHFFFAOYSA-N
GUXQEW,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,OVAJWDXGZFZSPQ-NSHDSACASA-N
GUXQEW01,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,OVAJWDXGZFZSPQ-NSHDSACASA-N
GUXSOI,Er,68,167.259,1.89,,150.0,,,0.212261,1.24,NPGSUFYBBCRXKB-UHFFFAOYSA-N
GUYYII,Ni,28,58.6934,1.24,3.8199385,49.0,1.156,11.13,0.1472068,1.91,KEENSACGMPEMTJ-UHFFFAOYSA-N
HABBIV,Er,68,167.259,1.89,,150.0,,,0.212261,1.24,HDZZBXHZUBTSRV-BYPYZUCNSA-N
HABDOF,Er,68,167.259,1.89,,150.0,,,0.212261,1.24,COIXNQUTQAFUCZ-UHFFFAOYSA-N
HADFAV,Pr,59,140.90766,2.03,2.7365,216.0,0.9620000000000001,,0.17207999999999998,1.13,BLMSEXYTWGZPEK-UHFFFAOYSA-N
HADMIJ,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,MWVTWFVJZLCBMC-UHFFFAOYSA-N
HAFVUH,Mg,12,24.305,1.41,,71.2,,7.646,0.121644,1.31,IYWHHQIISFHPNX-UHFFFAOYSA-N
HAGFOL,Er,68,167.259,1.89,,150.0,,,0.212261,1.24,HDZZBXHZUBTSRV-BYPYZUCNSA-N
HAGTER,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,OGNCVVRIKNGJHQ-UHFFFAOYSA-N
HAHDUR,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,CHRPUSCNMSNSKL-UHFFFAOYSA-N
HAHYOH,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,DEJSXFACYJMKPH-UHFFFAOYSA-N
HAJCUR01,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,HICHUEMIUNBRDV-UHFFFAOYSA-N
HAJQUH,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,WYURNTSHIVDZCO-UHFFFAOYSA-N
HAJTAQ,Y,39,88.90584,1.9,3.10863,162.0,0.307,6.631,0.1216986,1.22,RTYYYTBAWFWSMS-UHFFFAOYSA-N
HAKDOM,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,DXYPYKRRWJGURQ-UHFFFAOYSA-N
HAKKAH,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,WMZXXRGIQZAKJB-UHFFFAOYSA-N
HALNOA,Er,68,167.259,1.89,,150.0,,,0.212261,1.24,AQJONOVFVNNDAD-UHFFFAOYSA-N
HALTUM,Ni,28,58.6934,1.24,3.8199385,49.0,1.156,11.13,0.1472068,1.91,PSFNFUAPASEPEG-UHFFFAOYSA-N
HAMNUH,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,WEVYAHXRMPXWCK-UHFFFAOYSA-N
HAPQIY,Ni,28,58.6934,1.24,3.8199385,49.0,1.156,11.13,0.1472068,1.91,FZWLAAWBMGSTSO-UHFFFAOYSA-N
HAQQIC,Mo,42,95.95,1.54,3.546215,87.0,0.748,8.71,0.1312672,2.16,JPSFKIQNWSIMGZ-NSHDSACASA-N
HATHUF,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,FETAOLZTOVIGTH-GHMZBOCLSA-N
HAVDAK,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,DGEZNRSVGBDHLK-UHFFFAOYSA-N
HAVDAK02,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,DGEZNRSVGBDHLK-UHFFFAOYSA-N
HAVHER,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,JFDZBHWFFUWGJE-UHFFFAOYSA-N
HAVKAS,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,CJEPJDDFMNPBCU-IMJSIDKUSA-N
HAWBEO,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,DGEZNRSVGBDHLK-UHFFFAOYSA-N
HAWDAM,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,JWPDUQLIPMJLOF-UHFFFAOYSA-N
HAWGUJ,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,LOKXAHKHBYIPSL-UHFFFAOYSA-N
HAWWIO,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,KYQCOXFCLRTKLS-UHFFFAOYSA-N
HAWWIO01,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,KYQCOXFCLRTKLS-UHFFFAOYSA-N
HAXGUL,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,ADBHDGZOJCESSY-UHFFFAOYSA-N
HAYFAR,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,PZSISEFPCYMBDL-UHFFFAOYSA-N
HAYLIE,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,NSNJBMJRBHXPJQ-YFKPBYRVSA-N
HAYTOR,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,DGEZNRSVGBDHLK-UHFFFAOYSA-N
HAYYOY,Fe,26,55.845,1.32,3.9512339,62.0,0.151,10.64,0.13925320000000002,1.83,YVKNFQKXHGROLA-UHFFFAOYSA-N
HAYYUE,Fe,26,55.845,1.32,3.9512339,62.0,0.151,10.64,0.13925320000000002,1.83,YVKNFQKXHGROLA-UHFFFAOYSA-N
HAYZAL,Fe,26,55.845,1.32,3.9512339,62.0,0.151,10.64,0.13925320000000002,1.83,WCFFQNPTYKIWAY-UHFFFAOYSA-N
HAYZEP,Fe,26,55.845,1.32,3.9512339,62.0,0.151,10.64,0.13925320000000002,1.83,WCFFQNPTYKIWAY-UHFFFAOYSA-N
HAZGOF01,Sc,21,44.955908,1.7,3.280745,97.0,0.188,7.042000000000001,0.11938330000000001,1.36,FDTQOZYHNDMJCM-UHFFFAOYSA-N
HAZGOF02,Sc,21,44.955908,1.7,3.280745,97.0,0.188,7.042000000000001,0.11938330000000001,1.36,FDTQOZYHNDMJCM-UHFFFAOYSA-N
HAZGOF03,Sc,21,44.955908,1.7,3.280745,97.0,0.188,7.042000000000001,0.11938330000000001,1.36,FDTQOZYHNDMJCM-UHFFFAOYSA-N
HAZGOF04,Sc,21,44.955908,1.7,3.280745,97.0,0.188,7.042000000000001,0.11938330000000001,1.36,FDTQOZYHNDMJCM-UHFFFAOYSA-N
HAZGOF05,Sc,21,44.955908,1.7,3.280745,97.0,0.188,7.042000000000001,0.11938330000000001,1.36,FDTQOZYHNDMJCM-UHFFFAOYSA-N
HAZGOF06,Sc,21,44.955908,1.7,3.280745,97.0,0.188,7.042000000000001,0.11938330000000001,1.36,FDTQOZYHNDMJCM-UHFFFAOYSA-N
HAZGOF07,Sc,21,44.955908,1.7,3.280745,97.0,0.188,7.042000000000001,0.11938330000000001,1.36,FDTQOZYHNDMJCM-UHFFFAOYSA-N
HAZGOF08,Sc,21,44.955908,1.7,3.280745,97.0,0.188,7.042000000000001,0.11938330000000001,1.36,FDTQOZYHNDMJCM-UHFFFAOYSA-N
HAZGOF10,Sc,21,44.955908,1.7,3.280745,97.0,0.188,7.042000000000001,0.11938330000000001,1.36,FDTQOZYHNDMJCM-UHFFFAOYSA-N
HAZGOF11,Sc,21,44.955908,1.7,3.280745,97.0,0.188,7.042000000000001,0.11938330000000001,1.36,FDTQOZYHNDMJCM-UHFFFAOYSA-N
HAZGOF12,Sc,21,44.955908,1.7,3.280745,97.0,0.188,7.042000000000001,0.11938330000000001,1.36,FDTQOZYHNDMJCM-UHFFFAOYSA-N
HAZGOF13,Sc,21,44.955908,1.7,3.280745,97.0,0.188,7.042000000000001,0.11938330000000001,1.36,FDTQOZYHNDMJCM-UHFFFAOYSA-N
HAZGOF14,Sc,21,44.955908,1.7,3.280745,97.0,0.188,7.042000000000001,0.11938330000000001,1.36,FDTQOZYHNDMJCM-UHFFFAOYSA-N
HAZGOF16,Sc,21,44.955908,1.7,3.280745,97.0,0.188,7.042000000000001,0.11938330000000001,1.36,FDTQOZYHNDMJCM-UHFFFAOYSA-N
HAZGOF17,Sc,21,44.955908,1.7,3.280745,97.0,0.188,7.042000000000001,0.11938330000000001,1.36,FDTQOZYHNDMJCM-UHFFFAOYSA-N
HAZZAK,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,BIAWAXVRXKIUQB-MDZDMXLPSA-N
HEBCOG,Pr,59,140.90766,2.03,2.7365,216.0,0.9620000000000001,,0.17207999999999998,1.13,HDZZBXHZUBTSRV-BYPYZUCNSA-N
HEBHAZ,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,DCNWZFYFAQIPBD-UHFFFAOYSA-N
HEBKAC,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,PAJJRGHZMOUTRA-NSHDSACASA-N
HEBLAC,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,WHNNHRMYDQKQDW-UHFFFAOYSA-N
HEBLAD,U,92,238.02891,1.96,,129.0,,,0.13207,1.7,FDTQOZYHNDMJCM-UHFFFAOYSA-N
HEBLAD01,U,92,238.02891,1.96,,129.0,,,0.13207,1.7,FDTQOZYHNDMJCM-UHFFFAOYSA-N
HEBLEH,U,92,238.02891,1.96,,129.0,,,0.13207,1.7,RAXJMYHMQXJGIN-UHFFFAOYSA-N
HEBQAI,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,ROFVEXUMMXZLPA-UHFFFAOYSA-N
HEBQIQ,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,ROFVEXUMMXZLPA-UHFFFAOYSA-N
HEBWUI,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,VHQKFOIUCUBHEH-UHFFFAOYSA-N
HEBXAP,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,VHQKFOIUCUBHEH-UHFFFAOYSA-N
HEDGUS,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,KYQCOXFCLRTKLS-UHFFFAOYSA-N
HEDRUE,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,WEVYAHXRMPXWCK-UHFFFAOYSA-N
HEDSAL,Au,79,196.966569,1.36,4.6127765,36.0,2.30863,11.33,0.26137,2.4,JFDZBHWFFUWGJE-UHFFFAOYSA-N
HEDSEP,Au,79,196.966569,1.36,4.6127765,36.0,2.30863,11.33,0.26137,2.4,SUSQOBVLVYHIEX-UHFFFAOYSA-N
HEDTIV,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,FFNPOCYAZAQCGK-UHFFFAOYSA-N
HEDZIB,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,AUIPSJOVESYDLS-UHFFFAOYSA-N
HEDZOH,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,AUIPSJOVESYDLS-UHFFFAOYSA-N
HEDZUN,Ni,28,58.6934,1.24,3.8199385,49.0,1.156,11.13,0.1472068,1.91,AUIPSJOVESYDLS-UHFFFAOYSA-N
HEFZEY,Ni,28,58.6934,1.24,3.8199385,49.0,1.156,11.13,0.1472068,1.91,HUVITHUAVKHXAB-UHFFFAOYSA-N
HEGQOC,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,MBNDYCQCYUGGGA-UHFFFAOYSA-N
HEHVOI,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,OYTVUZCKKJYEDG-UHFFFAOYSA-N
HEKKUD,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,DPDTYAPIHNITOT-UHFFFAOYSA-N
HELCUY,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,YFZWLPGHJUPSRQ-UHFFFAOYSA-N
HENRAW,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,SUOVGHDPXJUFME-UHFFFAOYSA-N
HENXED,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,XXEMXNYTPKDIGN-UHFFFAOYSA-N
HEPCEN,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,BFNMJPRWBHSVTB-UHFFFAOYSA-N
HEPNIA,Li,3,6.94,1.28,2.6958573805,164.1125,0.618049,5.392,0.105093,0.98,UYHHYFDKCLECEJ-UHFFFAOYSA-N
HEQLEV,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,AEEPWBKHHIPWSV-PHDIDXHHSA-N
HERPOK,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,WRHRIKOYJBIBDN-UHFFFAOYSA-N
HERYOT,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,RFLUKHUNOKWRDA-UHFFFAOYSA-N
HERZUZ,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,OUXGTINVQZOBKT-UHFFFAOYSA-N
HESBOW,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,OUXGTINVQZOBKT-UHFFFAOYSA-N
HESBUC,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,OUXGTINVQZOBKT-UHFFFAOYSA-N
HESKEV,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,KYQCOXFCLRTKLS-UHFFFAOYSA-N
HETBOY,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,OGNCVVRIKNGJHQ-UHFFFAOYSA-N
HETBOY01,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,OGNCVVRIKNGJHQ-UHFFFAOYSA-N
HETBUE,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,OGNCVVRIKNGJHQ-UHFFFAOYSA-N
HETCEP,Nd,60,144.242,2.01,2.7625,208.0,1.916,,0.176539,1.14,OWVZESVDNQLQPV-UHFFFAOYSA-N
HEWRUW,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,PCNDJXKNXGMECE-UHFFFAOYSA-N
HEWRUW01,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,PCNDJXKNXGMECE-UHFFFAOYSA-N
HEWSAD,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,PCNDJXKNXGMECE-UHFFFAOYSA-N
HEXMII,Mg,12,24.305,1.41,,71.2,,7.646,0.121644,1.31,WYURNTSHIVDZCO-UHFFFAOYSA-N
HEYQIO,Na,11,22.98976928,1.66,2.56953835,162.7,0.547926,5.14,0.093214,0.93,WETZLXXYWRTVSY-WWNSAXIVSA-N
HEYQOU,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,QFGBMLWZJOOHAQ-WWNSAXIVSA-N
HEYQUA,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,QFGBMLWZJOOHAQ-WWNSAXIVSA-N
HEYRAH,Na,11,22.98976928,1.66,2.56953835,162.7,0.547926,5.14,0.093214,0.93,WETZLXXYWRTVSY-CEITULEQSA-N
HEYREL,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,QFGBMLWZJOOHAQ-CEITULEQSA-N
HEYRUB,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,QFGBMLWZJOOHAQ-CEITULEQSA-N
HEYSAI,Na,11,22.98976928,1.66,2.56953835,162.7,0.547926,5.14,0.093214,0.93,WETZLXXYWRTVSY-CEITULEQSA-N
HEYSEM,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,QFGBMLWZJOOHAQ-WWNSAXIVSA-N
HEYSIQ,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,QFGBMLWZJOOHAQ-CEITULEQSA-N
HIBHOS,Eu,63,151.964,1.98,2.8351925,184.0,0.8640000000000001,,0.189935,,JIVLDFFWTQYGSR-UHFFFAOYSA-N
HIBHUY,Gd,64,157.25,1.96,,158.0,,,0.1944,1.2,JIVLDFFWTQYGSR-UHFFFAOYSA-N
