,compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,Egap,catalog,nspecies
915,S2Sn2,aflow:77edab9eb0a648db,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/S1Sn1_ICSD_651020,63,oS8,0.4467,ICSD,2
916,Os4S8,aflow:81042904d802f076,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Os1S2_ICSD_647750,205,cP12,0.4467,ICSD,2
917,O12Ti8,aflow:f05471e1faead600,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/O3Ti2_ICSD_187466,62,oP20,0.4486,ICSD,2
918,N1Sc1,aflow:ff71b42bbe717586,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Sc1_ICSD_26948,225,cF8,0.4488,ICSD,2
919,N1Sc1,aflow:e2a659b4bad647c2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Sc1_ICSD_157501,225,cF8,0.4492,ICSD,2
920,N1Sc1,aflow:7d7ed697ff51323e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Sc1_ICSD_155049,225,cF8,0.4497,ICSD,2
921,C4Eu2,aflow:92a60bf9be6febeb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/C2Eu1_ICSD_380495,15,mS12,0.4497,ICSD,2
922,N1Sc1,aflow:a6f07d57af97e0be,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Sc1_ICSD_180829,225,cF8,0.4497,ICSD,2
923,N1Sc1,aflow:f49713303e6c9fd5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Sc1_ICSD_644666,225,cF8,0.4497,ICSD,2
924,N1Sc1,aflow:0a0e389686d6783f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Sc1_ICSD_644667,225,cF8,0.4498,ICSD,2
925,N1Sc1,aflow:941cdf89466f8cca,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Sc1_ICSD_644668,225,cF8,0.45,ICSD,2
926,N1Sc1,aflow:debd9e608cfdea93,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Sc1_ICSD_290470,225,cF8,0.45,ICSD,2
927,Na6Sb2,aflow:917b743bc2ffbebf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Na3Sb1_ICSD_26882,194,hP8,0.4539,ICSD,2
928,Pb4S4,aflow:ed5e0e5f2c3a33b0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Pb1S1_ICSD_183241,31,oP4,0.4542,ICSD,2
929,P6Sr6,aflow:58fb9512679028ef,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/P1Sr1_ICSD_26262,189,hP12,0.4545,ICSD,2
930,S8U4,aflow:948c4f11f60d8b06,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/S2U1_ICSD_651332,62,oP12,0.4562,ICSD,2
931,Fe2Se2,aflow:377f5c9ee36176e8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Fe1Se1_ICSD_169309,67,oS8,0.4587,ICSD,2
932,La20Se38,aflow:45e36396c111da20,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/La1Se1.9_ICSD_69730,86,tP58,0.4602,ICSD,2
933,Ag8S4,aflow:33f61042b2ec4357,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Ag2S1_ICSD_262632,14,mP12,0.4618,ICSD,2
934,P4Ru2,aflow:70ba010746c3077c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P2Ru1_ICSD_42737,58,oP6,0.462,ICSD,2
935,P4Ru2,aflow:8f06f3be73b68d89,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P2Ru1_ICSD_42607,58,oP6,0.4623,ICSD,2
936,P4Ru2,aflow:f9ed118fb3f01d83,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P2Ru1_ICSD_648016,58,oP6,0.4628,ICSD,2
937,P4Ru2,aflow:88a7d37fec274991,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P2Ru1_ICSD_648022,58,oP6,0.4629,ICSD,2
938,Os2Sb4,aflow:36983f0d272b48c4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Os1Sb2_ICSD_647758,58,oP6,0.4631,ICSD,2
939,In4Se4,aflow:9f269793c99e6bcf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/In1Se1_ICSD_30377,194,hP8,0.4632,ICSD,2
940,Os2Sb4,aflow:739b15af2dfb71cf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Os1Sb2_ICSD_997,58,oP6,0.4633,ICSD,2
941,Os2Sb4,aflow:9ff7b99b60afef0f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Os1Sb2_ICSD_647754,58,oP6,0.4636,ICSD,2
942,P4Ru2,aflow:e245d46cb346746d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P2Ru1_ICSD_992,58,oP6,0.4636,ICSD,2
943,Os2Sb4,aflow:5d15899db7e69e42,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Os1Sb2_ICSD_647757,58,oP6,0.4639,ICSD,2
944,Pb1S1,aflow:0eba6b16a3d9271f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_169770,225,cF8,0.4644,ICSD,2
945,Pb1S1,aflow:8ced29ac6ca2ae9f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_62190,225,cF8,0.4646,ICSD,2
946,Pb1S1,aflow:eda0a0284348859a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_648442,225,cF8,0.4647,ICSD,2
947,Pb1S1,aflow:31d4694d09e0c7e7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_62191,225,cF8,0.4648,ICSD,2
948,Pb1S1,aflow:40ca0d6e71c71341,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_62192,225,cF8,0.465,ICSD,2
949,Pb1S1,aflow:43969568cf03803d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_648437,225,cF8,0.4651,ICSD,2
950,Na6P2,aflow:c8f1b5442f326ddf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Na3P1_ICSD_644925,194,hP8,0.4651,ICSD,2
951,Pb1S1,aflow:dfe859dd80943857,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_648443,225,cF8,0.4651,ICSD,2
952,Pb1S1,aflow:28813cab50113b15,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_62193,225,cF8,0.4652,ICSD,2
953,Pb1S1,aflow:8883fad37e69bb8f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_63095,225,cF8,0.4652,ICSD,2
954,Pb1S1,aflow:154cc3bc7969b64b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_648449,225,cF8,0.4653,ICSD,2
955,Pb1S1,aflow:2bdd9b2593182ded,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_648434,225,cF8,0.4653,ICSD,2
956,Pb1S1,aflow:5ef5fd338237276c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_648436,225,cF8,0.4653,ICSD,2
957,Pb1S1,aflow:bbd54a931c8feab1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_648440,225,cF8,0.4653,ICSD,2
958,Pb1S1,aflow:ddefed435cc35c99,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_648444,225,cF8,0.4653,ICSD,2
959,Pb1S1,aflow:e4f53483fb22df2f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_648452,225,cF8,0.4653,ICSD,2
960,Pb1S1,aflow:1d6f5c06f0e4dd36,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_600243,225,cF8,0.4654,ICSD,2
961,Pb1S1,aflow:4c38605c54efa3f5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_648439,225,cF8,0.4654,ICSD,2
962,Pb1S1,aflow:5144edcc99c86b7d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_601032,225,cF8,0.4654,ICSD,2
963,Pb1S1,aflow:ac1865782565cdc6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_38293,225,cF8,0.4654,ICSD,2
964,Pb1S1,aflow:c88ec9e2f1763557,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_603902,225,cF8,0.4654,ICSD,2
965,Pb1S1,aflow:e36c4d75c38e2486,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_648435,225,cF8,0.4654,ICSD,2
966,Pb1S1,aflow:ff8c65c9e60c2371,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_648450,225,cF8,0.4654,ICSD,2
